"Ranking","County","Adherents","Percent"
1003,"Claiborne Parish, Louisiana",4292,24.96
1568,"Clallam County, Washington",9803,13.73
1371,"Clare County, Michigan",5323,17.21
1303,"Clarendon County, South Carolina",6420,18.36
1625,"Clarion County, Pennsylvania",5121,12.81
164,"Clark County, Arkansas",12259,53.31
361,"Clark County, Illinois",7127,43.63
1379,"Clark County, Indiana",18804,17.06
815,"Clark County, Kansas",656,29.62
566,"Clark County, Kentucky",12912,36.26
1137,"Clark County, Missouri",1570,21.99
1957,"Clark County, Nevada",150709,7.72
1588,"Clark County, Ohio",18482,13.36
1969,"Clark County, South Dakota",276,7.48
1568,"Clark County, Washington",58413,13.73
1271,"Clark County, Wisconsin",6594,19.01
172,"Clarke County, Alabama",13634,52.78
1633,"Clarke County, Georgia",14824,12.70
1433,"Clarke County, Iowa",1493,16.08
87,"Clarke County, Mississippi",9847,58.85
1644,"Clarke County, Virginia",1761,12.55
1920,"Clatsop County, Oregon",3075,8.30
54,"Clay County, Alabama",8899,63.87
482,"Clay County, Arkansas",6355,39.51
999,"Clay County, Florida",47779,25.03
961,"Clay County, Georgia",827,25.98
189,"Clay County, Illinois",7102,51.41
922,"Clay County, Indiana",7236,26.91
1298,"Clay County, Iowa",3079,18.47
1174,"Clay County, Kansas",1817,21.29
441,"Clay County, Kentucky",8920,41.05
1574,"Clay County, Minnesota",8055,13.65
463,"Clay County, Mississippi",8292,40.19
993,"Clay County, Missouri",55953,25.21
1462,"Clay County, Nebraska",1014,15.50
16,"Clay County, North Carolina",8126,76.75
2069,"Clay County, South Dakota",782,5.64
432,"Clay County, Tennessee",3246,41.29
218,"Clay County, Texas",5401,50.23
1970,"Clay County, West Virginia",701,7.47
825,"Clayton County, Georgia",76232,29.39
2020,"Clayton County, Iowa",1174,6.48
2265,"Clear Creek County, Colorado",113,1.24
1871,"Clearfield County, Pennsylvania",7513,9.20
1431,"Clearwater County, Idaho",1411,16.11
1223,"Clearwater County, Minnesota",1736,19.97
31,"Cleburne County, Alabama",10435,69.70
549,"Cleburne County, Arkansas",9580,36.89
1494,"Clermont County, Ohio",29343,14.87
492,"Cleveland County, Arkansas",3392,39.04
331,"Cleveland County, North Carolina",43997,44.86
804,"Cleveland County, Oklahoma",76501,29.91
2285,"Clifton Forge, Virginia",,
